prefecture,city,district,number,address,name,lat,long
東京都,港区,東京7区,21-2,六本木４−２−３０,三河台公園西側鉄柵,35.6646092,139.7337782
東京都,港区,東京7区,21-3,六本木６−８−１６,六本木中学校校庭側左寄り塀,35.6605845,139.7315559
東京都,港区,東京7区,21-4,六本木７−７,政策研究大学院大学北東道路（区道852号線）道路植込,35.6653101,139.7287687
東京都,港区,東京7区,21-5,六本木７−７,政策研究大学院大学北東道路（区道852号線）道路植込,35.6648569,139.7283611
東京都,港区,東京7区,21-6,六本木７−９−１,masked,35.6645268,139.7294893
東京都,港区,東京7区,21-7,六本木７−１７−８,六本木西公園北側内スツール植込,35.6632456,139.7300943
東京都,港区,東京7区,22-1,麻布台１−５−１５,麻布小学校正門右側植込,35.661292,139.7382221
東京都,港区,東京7区,22-2,麻布台１−５−１５,麻布小学校前区掲示板右横ブロック塀,35.6620765,139.738383
東京都,港区,東京7区,22-3,六本木１−３−５０,（旧）齋藤病院北側塀右寄り,35.6665198,139.7395666
東京都,港区,東京7区,22-4,六本木１−８−１,（旧）財務省関東財務局六本木住宅北側植込,35.6636039,139.7387215
東京都,港区,東京7区,22-5,六本木１−４−１１,六本木坂上児童遊園植込,35.6655827,139.7398774
東京都,港区,東京7区,22-6,六本木５−16−46,麻布保育園裏側植込,35.6610506,139.7353789
東京都,港区,東京7区,22-7,六本木５−１８,永坂上遊び場東側金網,35.660037,139.736746
東京都,港区,東京7区,22-8,六本木１−６−１,泉ガーデンタワー前歩道植込,35.6650374,139.7390439
東京都,港区,東京7区,23-1,港区麻布台３−５−５,飯倉ヒルズ区道側金網,35.6599054,139.7397155
東京都,港区,東京7区,23-2,東麻布１−２１,飯倉公園南側鉄柵,35.6556354,139.7434928
東京都,港区,東京7区,23-3,東麻布１−２２,飯倉公園東側植込,35.6557373,139.7441554
東京都,港区,東京7区,23-4,東麻布２−３２,東麻布２−32都道319植込,35.6558474,139.7398983
東京都,港区,東京7区,23-5,東麻布２−１６−１１,飯倉いきいきプラザ南側植込右寄り,35.656851,139.7409348
東京都,港区,東京7区,23-6,東麻布２−３５,首都高速道路サービス�鞄喧ヵz駐車場鉄柵（東麻布二丁目バス停前）,35.6552186,139.7413656
東京都,港区,東京7区,23-7,麻布狸穴町６３,狸穴公園西側植込,35.6583257,139.7389073
東京都,港区,東京7区,23-8,東麻布１−３０,首都高速道路 芝公園入口（渋谷方面）北側金網,35.6549205,139.7435918
東京都,港区,東京7区,24-1,麻布十番１−１０,新一の橋交差点前歩道,35.6559785,139.7369825
東京都,港区,東京7区,24-2,元麻布２−６−２,宮村児童遊園入口左側ガードレール寄り金網,35.6544188,139.7297944
東京都,港区,東京7区,24-3,元麻布３−９,旧麻布保育園跡地南西側金網（茶色鉄柱の野口邸側）,35.6557754,139.7304051
東京都,港区,東京7区,24-4,元麻布３−８−１５,南山小学校体育館前左側鉄柵,35.6572398,139.7313883
東京都,港区,東京7区,24-5,六本木６−１６−３６,都立六本木高等学校正門横鉄柵,35.6576145,139.7311109
東京都,港区,東京7区,24-6,六本木６−１６−３６,都立六本木高等学校北側塀,35.6585255,139.7305583
東京都,港区,東京7区,24-7,六本木６−１６,さくら坂公園南側植込,35.658242,139.7288633
東京都,港区,東京7区,25-1,南麻布１−８,東町小学校北側植込,35.650987,139.7358598
東京都,港区,東京7区,25-2,南麻布２−２−８,南麻布新堀児童遊園北側植込,35.6499872,139.7357844
東京都,港区,東京7区,25-3,南麻布１−８−１１,東町小学校東側植込,35.6508406,139.7364275
東京都,港区,東京7区,25-4,南麻布１−７−２９,区立南麻布一丁目児童遊園植込,35.6508596,139.7370302
東京都,港区,東京7区,25-5,南麻布２−７,首都高速道路サービス�褐ﾃ川橋駐車場金網,35.6470028,139.7364293
東京都,港区,東京7区,25-6,麻布十番２−１５−１,網代公園北側植込,35.6546081,139.7353593
東京都,港区,東京7区,25-7,麻布十番２−１５−１,網代公園南側植込,35.65434,139.7354665
東京都,港区,東京7区,25-8,麻布十番４−５−１,新広尾公園東側植込,35.654104,139.7374165
東京都,港区,東京7区,25-9,南麻布２−２−８,南麻布新堀児童遊園西側植込,35.6497344,139.7357388
東京都,港区,東京7区,26-1,南麻布３ー５ー１５,旧南麻布３丁目保育室　金網,35.6511651,139.7304262
東京都,港区,東京7区,26-2,南麻布３−９−３３,本村小学校西側植込左寄り,35.6495193,139.729656
東京都,港区,東京7区,26-3,南麻布３−９−３３,本村小学校南側植込左寄り,35.6490878,139.7296989
東京都,港区,東京7区,26-4,南麻布４−２−２９,南麻布保育園南側鉄柵,35.6476118,139.7242617
東京都,港区,東京7区,26-5,南麻布４－３－２,都営南麻布四丁目アパート２号棟前鉄柵,,
東京都,港区,東京7区,26-6,元麻布２－14－12,元麻布保育園西側鉄柵,35.6531251,139.7300263
東京都,港区,東京7区,26-7,南麻布４−１５,首都高速道路サービス�鞄V現寺橋（１）駐車場,35.6464529,139.726288
東京都,港区,東京7区,26-8,南麻布４－６－１,ありすの杜　きのこ南麻布　駐車場入口右側植込,35.6505221,139.7263244
東京都,港区,東京7区,27-1,西麻布３－20－14,梅田ビル前植込,35.6603098,139.7259898
東京都,港区,東京7区,27-2,南麻布５−６−３３,麻布運動場（野球場）東側植込右寄り,35.6525907,139.7284725
東京都,港区,東京7区,27-3,南麻布５−６−３３,麻布運動場（テニスコート）西側鉄柵左寄り,35.6519063,139.7275123
東京都,港区,東京7区,27-4,南麻布５−６−３３,麻布運動場（テニスコート）西側鉄柵右寄り,35.6515227,139.7277859
東京都,港区,東京7区,27-5,西麻布３−１１−２８,笄小学校西側金網,35.6562248,139.7244978
東京都,港区,東京7区,27-6,西麻布３−１２−１,笄公園西側金網,35.6564536,139.7238914
東京都,港区,東京7区,27-7,西麻布３−２１−６,麻布カトリック教会西側塀,35.6592384,139.7250287
東京都,港区,東京7区,27-8,西麻布３−１２−１,笄公園東側鉄柵,35.656519,139.7244385
東京都,港区,東京7区,28-1,西麻布１−１−１,六本木六丁目交差点都道植込,35.6614721,139.7281519
東京都,港区,東京7区,28-2,西麻布２－２６－２３,高樹町センタービル前植込,35.6596825,139.720028
東京都,港区,東京7区,28-3,西麻布２−１−２,笄児童遊園西側鉄柵,35.6640935,139.7198976
東京都,港区,東京7区,28-4,西麻布１−２,西麻布１−２霞坂植込,35.66098,139.7267956
東京都,港区,東京7区,28-5,西麻布２−１−２,笄児童遊園東側トイレ裏鉄柵,35.6641894,139.7202838
東京都,港区,東京7区,28-6,西麻布２−２１,長谷会館前墓地塀,35.6602775,139.7187606
東京都,港区,東京7区,28-7,西麻布１－11－４,ホテル＆レジデンス六本木前植込,35.6602062,139.7246201
東京都,港区,東京7区,29-1,南青山７ー８－８,南青山ロイアルハイツ前植込,35.6590885,139.7175297
東京都,港区,東京7区,29-2,西麻布４−９−２,神道大教院南側金網,35.6567054,139.7225141
東京都,港区,東京7区,29-3,西麻布４−１４−８,高陵中学校東側奥植込,35.6561234,139.7210657
東京都,港区,東京7区,29-4,西麻布４−１３−１５,西麻布４丁目緑地,35.6573698,139.7212565
